rodent_record_id,study_id,scientificName,eventDate,locality,country,verbatimLocality,coordinate_resolution,decimalLatitude,decimalLongitude,individualCount,trapEffort,trapEffortResolution
h_1,h_103,Arvicanthis niloticus,2012-05/2013-12,Bala,Senegal,,town,14.03,-13.17,9,,
h_2,h_103,Arvicanthis niloticus,2012-05/2013-12,Dianke Makha,Senegal,,town,13.68,-12.67,13,,
h_3,h_103,Arvicanthis niloticus,2012-05/2013-12,Ida Seco,Senegal,,town,13.99,-14.68,9,,
h_4,h_103,Arvicanthis niloticus,2012-05/2013-12,Kedougou center,Senegal,,town,12.56,-12.17,4,,
h_5,h_103,Arvicanthis niloticus,2012-05/2013-12,Kidira,Senegal,,town,14.46,-12.21,11,,
h_6,h_103,Arvicanthis niloticus,2012-05/2013-12,Niahene,Senegal,,town,14.02,-15.19,1,,
h_7,h_103,Arvicanthis niloticus,2012-05/2013-12,Soutouta,Senegal,,town,13.80,-12.72,14,,
h_8,h_103,Arvicanthis niloticus,2012-05/2013-12,Tambacounda,Senegal,,town,13.77,-13.67,18,,
h_9,h_103,Cricetomys gambianus,2012-05/2013-12,Kedougou center,Senegal,,town,12.56,-12.17,1,,
h_10,h_103,Crocidura olivieri,2012-05/2013-12,Bala,Senegal,,town,14.03,-13.17,32,,
h_11,h_103,Crocidura olivieri,2012-05/2013-12,Badi Nieriko,Senegal,,town,13.12,-13.22,6,,
h_12,h_103,Crocidura olivieri,2012-05/2013-12,Dianke Makha,Senegal,,town,13.68,-12.67,10,,
h_13,h_103,Crocidura olivieri,2012-05/2013-12,Dyelani,Senegal,,town,13.92,-12.69,3,,
h_14,h_103,Crocidura olivieri,2012-05/2013-12,Fadiga,Senegal,,town,12.55,-12.21,3,,
h_15,h_103,Crocidura olivieri,2012-05/2013-12,Goumbayel,Senegal,,town,13.69,-13.17,20,,
h_16,h_103,Crocidura olivieri,2012-05/2013-12,Kedougou center,Senegal,,town,12.56,-12.17,18,,
h_17,h_103,Crocidura olivieri,2012-05/2013-12,Kidira,Senegal,,town,14.46,-12.21,11,,
h_18,h_103,Crocidura olivieri,2012-05/2013-12,Kothiari,Senegal,,town,13.90,-13.45,20,,
h_19,h_103,Crocidura olivieri,2012-05/2013-12,Kounkane,Senegal,,town,12.93,-14.08,1,,
h_20,h_103,Crocidura olivieri,2012-05/2013-12,Niahene,Senegal,,town,14.02,-15.19,28,,
h_21,h_103,Crocidura olivieri,2012-05/2013-12,Sinthian Koundara,Senegal,,town,13.26,-13.91,16,,
h_22,h_103,Crocidura olivieri,2012-05/2013-12,Sinthiou Doumbe,Senegal,,town,14.18,-12.76,4,,
h_23,h_103,Crocidura olivieri,2012-05/2013-12,Soutouta,Senegal,,town,13.80,-12.72,14,,
