study_id,full_text_id,datasetName,sampling_effort,data_access,data_resolution,kmsq_site,notes,community
h_103,ft_103,"Seoul Orthohantavirus in Wild Black Rats, Senegal, 2012-2013.",not reported,summarised,,,site,
h_102,ft_102,Tigray Orthohantavirus Infects Two Related Rodent Species Adapted to Different Elevations in Ethiopia.,not reported,summarised,,,site,
h_100,ft_100,Molecular Survey of Zoonotic Agents in Rodents and Other Small Mammals in Croatia.,not reported,summarised,,,country,
h_104,ft_104,"Practice of integrated vector surveillance of arthropod vectors, pathogens and reservoir hosts to monitor the occurrence of tropical vector-borne diseases in 2020 in Zhejiang Province, China.",not reported,summarised,,,province,
h_109,ft_109,Co-circulation of Clade C New World Arenaviruses: New geographic distribution and host species.,not reported,summarised,site-session,y,site,y
h_111,ft_111,Dynamics of oliveros virus infection in rodents in central Argentina.,not reported,summarised,,,region,
h_116,ft_116,"Serological Survey of Zoonotic Viruses in Invasive and Native Commensal Rodents in Senegal, West Africa.",not reported,summarised,,,site,
h_119,ft_119,Species Identity Supersedes the Dilution Effect Concerning Hantavirus Prevalence at Sites across Texas and México.,16875 trap nights,summarised,,,continent,
h_122,ft_122,"The characteristics of current natural foci of hemorrhagic fever with renal syndrome in Shandong Province, China, 2012-2015.",not reported,summarised,,,"county, sequences of non-NCBI uploaded available as supplementary",
h_126,ft_126,A Tale of Two Valleys: Disparity in Sin Nombre Virus Antibody Reactivity Between Neighboring Mojave Desert Communities.,not reported,summarised,,,county,
h_129,ft_129,Continuing Orthohantavirus Circulation in Deer Mice in Western Montana.,,individual,site-session,y,site,y
h_128,ft_128,"INTERSPECIFIC COMPARISON OF HANTAVIRUS PREVALENCE IN PEROMYSCUS POPULATIONS FROM A FRAGMENTED AGRO-ECOSYSTEM IN INDIANA, USA.",9280 trap nights,summarised,session,n,state,
h_134,ft_134,Serologic Evidence of Mammarenaviruses among Wild Rodents in Brazil.,11700 trap nights,summarised,,,state,
h_140,ft_140,"Detection of New World Hantavirus Antibodies in Rodents of Eastern New Mexico, USA.",14938 trap nights,summarised,,,state,
h_141,ft_141,Geographical distribution and relative risk of Anjozorobe virus (Thailand orthohantavirus) infection in black rats (Rattus rattus) in Madagascar.,,summarised,,,site,
