study_id,full_text_id,datasetName,sampling_effort,data_access,data_resolution,linked_manuscripts,notes
h_103,ft_103,"Diagne, Moussa M.; Dieng, Idrissa; Granjon, Laurent; Lucaccioni, Héloïse; Sow, Abdourahmane; Ndiaye, Oumar; Faye, Martin; Bâ, Khalilou; Bâ, Yamar; Diallo, Mamoudou; Faye, Oumar; Duplantier, Jean-Marc; Diallo, Mawlouth; Handschumacher, Pascal; Faye, Ousmane; Sall, Amadou A.",not reported,summarised,,,site
h_102,ft_102,"Meheretu, Yonas; Stanley, William T.; Craig, Evan W.; Goüy de Bellocq, Joëlle; Bryja, Josef; Leirs, Herwig; Pahlmann, Meike; Günther, Stephan",not reported,summarised,,,site
h_100,ft_100,"Tadin, Ante; Tokarz, Rafal; Markotić, Alemka; Margaletić, Josip; Turk, Nenad; Habuš, Josipa; Svoboda, Petra; Vucelja, Marko; Desai, Aaloki; Jain, Komal; Lipkin, W. Ian",not reported,summarised,,,country
h_104,ft_104,"Wu, Yuyan; Wang, Jinna; Liu, Qinmei; Li, Tianqi; Luo, Mingyu; Gong, Zhenyu",not reported,summarised,,,province
h_109,ft_109,"Fernandes, Jorlan; de Oliveira, Renata Carvalho; Guterres, Alexandro; de Carvalho Serra, Fabiana; Bonvicino, Cibele Rodrigues; D'Andrea, Paulo Sergio; Cunha, Rivaldo Venâncio; Levis, Silvana; de Lemos, Elba Regina Sampaio",not reported,summarised,,,site
h_111,ft_111,"Mills, James N.; Alva, Herminia; Ellis, Barbara A.; Wagoner, Kent D.; Childs, James E.; Calderón, Gladys; Enría, Delia A.; Jahrling, Peter B.",not reported,summarised,,,region
h_116,ft_116,"Diagne, Christophe A.; Charbonnel, Nathalie; Henttonen, Heikki; Sironen, Tarja; Brouat, Carine",not reported,summarised,,,site
h_119,ft_119,"Milholland, Matthew T.; Castro-Arellano, Iván; Arellano, Elizabeth; Nava-García, Elizabeth; Rangel-Altamirano, Guadalupe; Gonzalez-Cozatl, Francisco X.; Suzán, Gerardo; Schountz, Tony; González-Padrón, Shiara; Vigueras, Ana; Rubio, André V.; Maikis, Troy J.; Westrich, Bradford J.; Martinez, Jose A.; Esteve-Gassent, Maria D.; Torres, Madison; Rodriguez-Ruiz, Erick R.; Hahn, Dittmar; Lacher, Thomas E.",16875 trap nights,summarised,,,continent
h_122,ft_122,"Zheng, Zhaolei; Wang, Peizhu; Wang, Zhiqiang; Zhang, Dandan; Wang, Xu; Zuo, Shuqing; Li, Xiujun",not reported,summarised,,,county
h_126,ft_126,"Pesapane, Risa; Enge, Barryett; Roy, Austin; Kelley, Rebecca; Mabry, Karen; Trainor, Brian C.; Clifford, Deana; Foley, Janet",not reported,summarised,,,county
h_129,ft_129,"Williamson, Brandi N.; Meade-White, Kimberly; Boardman, Kristin; Schulz, Jonathan E.; Telford, Carson T.; Figueroa Acosta, Dania M.; Bushmaker, Trenton; Fischer, Robert J.; Rosenke, Kyle; Feldmann, Heinz",,individual,,,site
h_128,ft_128,"Berl, Jacob L.; Kuenzi, Amy J.; Flaherty, Elizabeth A.; Swihart, Robert K.",9280 trap nights,summarised,,,state
h_134,ft_134,"Sabino-Santos, Gilberto Jr; Maia, Felipe G. M.; Jonsson, Colleen B.; Goodin, Douglas G.; Salazar-Bravo, Jorge; Figueiredo, Luiz Tadeu M.",11700 trap nights,summarised,,,state
h_140,ft_140,"Curtis, Jessica L.; Milholland, Matthew T.; Schountz, Tony; Castro-Arellano, Ivan; Mali, Ivana",14938 trap nights,summarised,,,state
h_141,ft_141,"Raharinosy, Vololoniaina; Olive, Marie-Marie; Andriamiarimanana, Fehivola Mandanirina; Andriamandimby, Soa Fy; Ravalohery, Jean-Pierre; Andriamamonjy, Seta; Filippone, Claudia; Rakoto, Danielle Aurore Doll; Telfer, Sandra; Heraud, Jean-Michel",,summarised,,,site
h_143,ft_143,"Kurucz, Kornélia; Madai, Mónika; Bali, Dominika; Hederics, Dávid; Horváth, Győző; Kemenesi, Gábor; Jakab, Ferenc",4500 trap nights,summarised,,,study (city)
h_144,ft_144,"Blasdell, Kim; Morand, Serge; Henttonen, Heikki; Tran, Annelise; Buchy, Philippe",,summarised,,,site
h_150,ft_150,"Fitte, Bruno; Brignone, Julia; Sen, Carina; Robles, María Del Rosario",na,summarised,,,
h_160,ft_160,"Burns, Joseph E.; Metzger, Marco E.; Messenger, Sharon; Fritz, Curtis L.; Vilcins, Inger-Marie E.; Enge, Barryett; Bronson, Lawrence R.; Kramer, Vicki L.; Hu, Renjie",300 trap nights,summarised,site/session,,
,,#N/A,,,,,
,,#N/A,,,,,
